date,sum,avg,entries
3/29/15,786266,21250.43243,37
3/30/15,530466,18291.93103,29
3/31/15,459620,15848.96552,29
4/1/15,656928,15641.14286,42
4/2/15,273701,12440.95455,22
4/3/15,341149,14214.54167,24
4/4/15,795819,16241.20408,49
4/5/15,504329,17390.65517,29
4/6/15,335000,13958.33333,24
4/7/15,825817,17952.54348,46
4/8/15,425297,15751.74074,27
4/9/15,344352,12298.28571,28
4/10/15,349304,15187.13043,23
4/11/15,505164,12952.92308,39
4/12/15,1155084,22213.15385,52
4/13/15,765749,17016.64444,45
4/14/15,420717,18292.04348,23
4/15/15,304632,12185.28,25
4/16/15,405709,12678.40625,32
4/17/15,440474,12584.97143,35
4/18/15,611012,15275.3,40
4/19/15,791370,18403.95349,43
4/20/15,589118,14368.73171,41
4/21/15,372576,16198.95652,23
4/22/15,497012,13079.26316,38
4/23/15,380018,14616.07692,26
4/24/15,367755,14710.2,25
4/25/15,269288,12823.2381,21
4/26/15,469665,18786.6,25
4/27/15,689393,20890.69697,33
4/28/15,333816,15896,21
4/29/15,508337,16944.56667,30
4/30/15,523980,18068.27586,29
5/1/15,344177,10755.53125,32
5/2/15,565183,15699.52778,36
5/3/15,822896,19592.7619,42
5/4/15,688450,16791.46341,41
5/5/15,425575,16368.26923,26
5/6/15,449475,13620.45455,33
5/7/15,532541,15662.97059,34
5/8/15,390657,11838.09091,33
5/9/15,389167,11446.08824,34
5/10/15,672285,15279.20455,44
5/11/15,719088,15632.34783,46
5/12/15,640473,14894.72093,43
5/13/15,461516,11833.74359,39
5/14/15,699000,18394.73684,38
5/15/15,410575,12075.73529,34
5/16/15,1249978,25509.7551,49
5/17/15,125000,12500,10
5/18/15,765625,17400.56818,44
5/19/15,549001,17709.70968,31
5/20/15,588524,15090.35897,39
5/21/15,363789,12544.44828,29
5/22/15,332318,14448.6087,23
5/23/15,1164477,24776.10638,47
5/24/15,969175,22538.95349,43
5/25/15,698108,16621.61905,42
5/26/15,527772,20298.92308,26
5/27/15,521540,17384.66667,30
5/28/15,455771,16880.40741,27
5/29/15,331927,14431.6087,23
5/30/15,602800,13104.34783,46
5/31/15,695746,14803.10638,47
6/1/15,534524,14847.88889,36
6/2/15,251248,10923.82609,23
6/3/15,519445,16756.29032,31
6/4/15,406713,14024.58621,29
6/5/15,365000,14038.46154,26
6/6/15,765631,15625.12245,49
6/7/15,870584,18523.06383,47
6/8/15,618143,17170.63889,36
6/9/15,513767,14679.05714,35
6/10/15,448023,14934.1,30
6/11/15,404581,15560.80769,26
6/12/15,514826,15141.94118,34
6/13/15,644665,16964.86842,38
6/14/15,892651,20287.52273,44
6/15/15,215000,13437.5,16
6/16/15,633237,19189,33
6/17/15,415030,15962.69231,26
6/18/15,404414,12637.9375,32
6/19/15,319033,13293.04167,24
6/20/15,793132,18025.72727,44
6/21/15,558413,16921.60606,33
6/22/15,382584,13663.71429,28
6/23/15,605428,15932.31579,38
6/24/15,498657,12786.07692,39
6/25/15,572698,15071,38
6/26/15,457002,14742,31
6/27/15,551303,17783.96774,31
6/28/15,680580,16204.28571,42
6/29/15,328388,13135.52,25
6/30/15,606588,16849.66667,36
7/1/15,285400,11891.66667,24
7/2/15,593924,17997.69697,33
7/3/15,400438,14301.35714,28
7/4/15,630074,15751.85,40
7/5/15,649202,18033.38889,36
7/6/15,308370,14016.81818,22
7/7/15,638886,16812.78947,38
7/8/15,489588,12883.89474,38
7/9/15,485538,18674.53846,26
7/10/15,409553,13211.3871,31
7/11/15,408372,13612.4,30
7/12/15,674060,16440.4878,41
7/13/15,548917,18928.17241,29
7/14/15,389096,13896.28571,28
7/15/15,291709,11219.57692,26
7/16/15,127623,12762.3,10
7/17/15,274633,11940.56522,23
7/18/15,415006,15961.76923,26
7/19/15,650916,17129.36842,38
7/20/15,514543,19057.14815,27
7/21/15,595390,14884.75,40
7/22/15,463087,14938.29032,31
7/23/15,433021,14434.03333,30
7/24/15,444223,14329.77419,31
7/25/15,571708,16814.94118,34
7/26/15,713803,19827.86111,36
7/27/15,459061,15829.68966,29
7/28/15,480112,17146.85714,28
7/29/15,310004,17222.44444,18
7/30/15,206386,12140.35294,17
7/31/15,258334,14351.88889,18
8/1/15,408469,16338.76,25
